Abdul Qadeer Khan
Abu Nasr Al-Farabi
Al-Battani
Alan Turing
Albert Abraham Michelson
Albert Einstein
Albrecht von Haller
Alessandro Volta
Alexander Fleming
Alexander Graham Bell
Alfred Binet
Alfred Kinsey
Alfred Nobel
Alfred Wegener
Amedeo Avogadro
Anders Celsius
Andre Marie Ampère
Andreas Vesalius
Antoine Lavoisier
Antonie van Leeuwenhoek
Archimedes
Aristotle
Arnold Orville Beckman
Arthur Eddington
Avicenna
B. F. Skinner
Barbara McClintock
Benjamin Franklin
Benjamin Thompson
Blaise Pascal
C. V. Raman
Carl Bosch
Carl Friedrich Gauss
Carl Sagan
Carolus Linnaeus
Charles Darwin
Charles Lyell
Charles-Augustin de Coulomb
Christiaan Huygens
Christiane Nusslein-Volhard
Claude Bernard
Claude Levi-Strauss
Daniel Bernoulli
David Bohm
Dmitri Mendeleev
E. O. Wilson
Edward Jenner
Edward Teller
Edwin Hubble
Elizabeth Blackwell
Emil Fischer
Emil Kraepelin
Emile Berliner
Enrico Fermi
Ernest Rutherford
Ernst Haeckel
Ernst Mach
Ernst Mayr
Ernst Werner von Siemens
Erwin Schrödinger
Erwin Schrodinger
Euclid
Evangelista Torricelli
Francesco Redi
Francis Bacon
Francis Crick
Francis Galton
Franz Boas
Frederick Sanger
Frederick Soddy
Friedrich August Kekulé
Friedrich Wöhler
Fritz Haber
Galileo Galilei
Georg Ohm
George Gaylord Simpson
George Washington Carver
Gertrude Elion
Gerty Theresa Cori
Gottfried Leibniz
Gottlieb Daimler
Gregor Mendel
Guglielmo Marconi
Hans Bethe
Hans Christian Oersted
Hans Selye
Harriet Quimby
Heinrich Hertz
Henri Becquerel
Henrietta Swan Leavitt
Henry Bessemer
Henry Cavendish
Henry David Thoreau
Henry Ford
Henry Moseley
Hermann von Helmholtz
Homi Jehangir Bhabha
Humphry Davy
Ibn Battuta
Ibn Rushd
Irene Joliot-Curie
Isaac Newton
Ivan Pavlov
J. J. Thomson
J. Robert Oppenheimer
Jagadish Chandra Bose
James Chadwick
James Clerk Maxwell
James Prescott Joule
James Watson
Jane Goodall
Jean Piaget
Jean-Baptiste Lamarck
Jim Al-Khalili
Jocelyn Bell Burnell
Johannes Kepler
John Bardeen
John Dalton
John Locke
John Logie Baird
John Napier
John Needham
John Ray
John von Neumann
Jonas Salk
Joseph Banks
Joseph Priestley
Justus von Liebig
Karl Landsteiner
Katharine Burr Blodgett
Konrad Lorenz
Lee De Forest
Leland Clark
Leonardo da Vinci
Leonhard Euler
Linus Pauling
Lise Meitner
Louis de Broglie
Louis Pasteur
Lucretius
Ludwig Boltzmann
Luigi Galvani
Lynn Margulis
Marcello Malpighi
Maria Goeppert-Mayer
Marie Curie
Max Born
Max Planck
Max von Laue
Michael Faraday
Michio Kaku
Mohammad Abdus Salam
Muhammad ibn Musa al-Khwarizmi
Murray Gell-Mann
Nicolaus Copernicus
Niels Bohr
Nikola Tesla
Noam Chomsky
Omar Khayyam
Otto Hahn
Paul Dirac
Paul Ehrlich
Pierre Curie
Pierre-Simon Laplace
Prafulla Chandra Ray
Pythagoras
Rachel Carson
René Descartes
Richard Feynman
Rita Levi-Montalcini
Robert Bosch
Robert Boyle
Robert Bunsen
Robert Goddard
Robert Hooke
Robert Koch
Rosalind Franklin
Rudolf Virchow
Salim Ali
Sheldon Lee Glashow
Sigmund Freud
Srinivasa Ramanujan
Stephen Hawking
Svante Arrhenius
Thabit ibn Qurra
Theodor Schwann
Theodosius Dobzhansky
Thomas Alva Edison
Thomas Hunt Morgan
Thomas Newcomen
Tycho Brahe
Virginia Apgar
Werner Heisenberg
Wilbur and Orville Wright
Wilhelm Conrad Roentgen
Wilhelm Ostwald
Wilhelm Röntgen
Wilhelm Wundt
Willard Frank Libby
William Harvey
William Herschel
William Ramsay
William Thomson
